time,J_out,P_out,TK_out,kg_out
0,0,0,0,0
1000,5744429.8558449,8.3626217287269,472.9134778097,6.7252434574537
3000,6709958.6677868,8.9220403276648,473.14195338114,7.8440806553296
7000,7479581.8391971,9.3665640533203,473.33361649554,8.7331281066406
15000,7732576.4022955,9.5112510377168,473.44809499522,9.0225020754337
31000,7776902.9333383,9.5350623485368,473.53280966905,9.0701246970735
63000,7827813.8412035,9.5620457604878,473.64443404771,9.1240915209755
127000,7927257.161883,9.6191626147743,473.67394010502,9.2383252295486
255000,10602398.850251,9.8122941103235,452.04248760134,13.897905390611
511000,24762556.512288,9.9688680884273,433.75701030335,36.218145137859
767000,54143681.757833,9.993115861111,431.38485397959,80.39021495308
831000,35734946.413529,9.9951121215379,431.21148466529,53.116416464639
863000,27688689.851965,9.9958602503332,431.14902936444,41.17287021927
879000,9144238.232849,9.9961862368939,431.12226971283,13.599735256204
895000,13437193.423001,9.9964832121947,431.09813274341,19.987497105259
927000,6861624.8423172,9.9970010661838,431.05678117375,10.209194683724
991000,17819363.556227,9.997792911802,430.99552096277,26.523243015515
1119000,129715214.69844,9.9987584796758,430.92533913106,193.1612785667
1375000,160571107.07679,9.9995708050748,430.87069614836,239.19284794264
1887000,79821233.84147,9.9999380923607,430.84716844002,118.92263473557
2911000,957654459.36577,9.9999974943963,430.84247271131,1426.8159644668
4959000,57962616.861408,9.999999813906,430.84008170624,86.360223862039
9055000,2782038915.6266,9.9999999866543,430.83617546644,4145.1460965452
13151000,1785446075.0812,9.9999999897506,430.83041809893,2660.353789882
17247000,7085663906.0178,9.9999999711864,430.82589050834,10558.100748758
25439000,9442203688.4722,9.9999999997276,430.82209647938,14069.840469252
33631000,4297359725.1201,9.9999999984889,430.81597446112,6403.7526682298
41823000,6867428942.8773,9.9999999957277,430.8107042223,10233.911993239
51823000,8897694259.3654,9.9999999981184,430.80599968758,13259.83351741
61823000,22419485601.833,9.9999999904683,430.80084635553,33411.854008939
71823000,17950853250.112,9.9999999909313,430.79613761841,26753.039431374
81823000,13035737886.357,9.99999999054,430.79178243071,19428.343391129
91823000,7629463249.9592,9.9999999882,430.78771746984,11371.17774384
100000000,23714313435.265,9.9999999156493,430.78390273305,35345.378235977
