time,left,mid,right
0,0,0,0
10,0,0,0
20,0,0,0
30,0,0,0
40,0,0,0
50,0,0,0
60,0,0,0
70,0,0,0
80,0,0,0
90,0,0,0
100,0,0,0
110,0.05,0.010627002015462,0.0041696133617375
120,0.1,0.030385406920669,0.014992687344288
130,0.15,0.056720895784233,0.032707783380337
140,0.2,0.087949092924099,0.056533685508064
150,0.25,0.12296323292279,0.08545636645265
160,0.3,0.16096830367037,0.11852869691605
170,0.35,0.20135743069004,0.15494784699348
180,0.4,0.24365368729481,0.19405647715588
190,0.45,0.28747768313289,0.2353233214238
200,0.5,0.33252615845347,0.27832112483706
210,0.55,0.37855625347513,0.32270692849103
220,0.6,0.42537333860949,0.36820563689262
230,0.65,0.4728213932802,0.41459665032456
240,0.7,0.52077533378612,0.46170308803657
250,0.75,0.56913487486847,0.50938312964446
260,0.8,0.61781961205983,0.55752306740534
270,0.85,0.6667650800876,0.60603173406886
280,0.9,0.71591959300841,0.65483603479937
290,0.95,0.76524171085095,0.70387736466617
300,1,0.81469820849293,0.75310873626261
310,1,0.85363544517241,0.798322863354
320,1,0.8835276619944,0.83700569387988
330,1,0.90691205377167,0.86889444924707
340,1,0.92545926666299,0.89475092893951
350,1,0.94026505823119,0.91557359277466
360,1,0.95211561487081,0.93229708860421
370,1,0.96161073490675,0.94571423914293
380,1,0.96922167161325,0.95647436050265
390,1,0.97532326659692,0.96510228576569
400,1,0.98021513258273,0.97202011221882
410,1,0.98413720529351,0.97756666352334
420,1,0.98728176990905,0.98201371967795
430,1,0.98980296734038,0.98557922215169
440,1,0.99182437423828,0.98843792040381
450,1,0.99344506756092,0.99072992602339
460,1,0.99474448300228,0.99256757670078
470,1,0.99578630910607,0.9940409412258
480,1,0.99662160906145,0.99522223372662
490,1,0.997291323537,0.9961693530133
500,1,0.99782827733148,0.99692872034949
510,1,0.99825878822584,0.99753755469433
520,1,0.99860395690176,0.99802569691691
530,1,0.99888070115244,0.99841707238946
540,1,0.99910258507653,0.99873086364416
550,1,0.99928048389702,0.99898245056882
560,1,0.9994231169898,0.99918416422307
570,1,0.99953747524749,0.99934589122207
580,1,0.99962916372488,0.9994755583103
590,1,0.99970267636013,0.99957952087608
600,1,0.99976161623672,0.99966287444891
610,1,0.99980887218177,0.99972970444731
620,1,0.9998467603565,0.99978328641786
630,1,0.99987713777849,0.99982624658003
640,1,0.99990149333991,0.99986069054532
650,1,0.99992102078277,0.99988830651985
660,1,0.99993667720793,0.99991044804865
670,1,0.99994922998561,0.99992820035709
680,1,0.99995929436658,0.99994243354115
690,1,0.99996736363753,0.99995384521357
700,1,0.99997383329859,0.99996299469599
710,1,0.99997902044803,0.99997033043307
720,1,0.99998317932421,0.99997621197217
730,1,0.99998651376662,0.99998092758585
740,1,0.99998918720669,0.99998470840105
750,1,0.99999133067804,0.9999877397273
760,1,0.99999304923888,0.99999017013936
770,1,0.99999442712126,0.9999921187593
780,1,0.99999553185947,0.99999368109506
790,1,0.99999641760018,0.99999493372158
800,1,0.9999971277563,0.999995938034
810,1,0.9999976971348,0.99999674325681
820,1,0.9999981536427,0.99999738885647
830,1,0.99999851965488,0.99999790647585
840,1,0.99999881311072,0.99999832148508
850,1,0.99999904839341,0.99999865422506
860,1,0.9999992370349,0.99999892100441
870,1,0.9999993882811,0.99999913489883
880,1,0.99999950954504,0.99999930639194
890,1,0.99999960677025,0.99999944388916
900,1,0.99999968472205,0.99999955412965
910,1,0.9999997472211,0.99999964251665
920,1,0.99999979733066,0.99999971338227
930,1,0.99999983750677,0.99999977019986
940,1,0.99999986971857,0.99999981575424
950,1,0.99999989554488,0.99999985227815
960,1,0.99999991625151,0.99999988156175
970,1,0.99999993285337,0.99999990504033
980,1,0.99999994616417,0.99999992386463
990,1,0.9999999568363,0.99999993895731
1000,1,0.99999996539284,0.99999995105809
