time,left,mid,right
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
101,0.0014285714285738,5.4270637241737e-06,8.1491907787276e-09
102,0.0035604956268899,3.1610324915053e-05,9.410922742595e-08
103,0.0061184513901384,9.9420045731626e-05,5.3075305114028e-07
104,0.0089629895110728,0.00022837096579564,2.0084534740386e-06
105,0.01201464509818,0.00043309436987,5.8395500427694e-06
106,0.01522411520931,0.00072295915341066,1.4068507742092e-05
107,0.018558696992788,0.0011030226208134,2.9455917863191e-05
108,0.021995510773416,0.001575213648123,5.5358294953508e-05
109,0.025517853739054,0.0021393448239561,9.555022705449e-05
110,0.029113108732821,0.0027938725944111,0.00015403340972678
111,0.032771477032294,0.0035364343147216,0.00023486290844196
112,0.03648517353887,0.0043642148477597,0.00034200588266114
113,0.040247894880577,0.0052741908123673,0.00047923683728862
114,0.044054455776217,0.0062632896295431,0.00065006690487489
115,0.04790053310992,0.0073284901924913,0.00085770165620919
116,0.051782481217197,0.0084668839559699,0.0011050211644421
117,0.055697195580608,0.0096757094333005,0.0013945764592727
118,0.05964201024023,0.010952369021235,0.0017285974208605
119,0.063614619189649,0.012294434260461,0.0021090081915525
120,0.067613015163111,0.013699643703773,0.0025374471369336
121,0.071635441251933,0.0151658962319,0.0030152891909409
122,0.075680352136952,0.016691241739309,0.0035436690586003
123,0.07974638263709,0.018273870479231,0.0041235042384162
124,0.083832321903515,0.019912101920355,0.0047555171890879
125,0.087937092029417,0.021604373666561,0.0054402562279213
126,0.09205973015799,0.023349230784257,0.0061781149343262
127,0.096199373395705,0.025145315740656,0.0069693499604732
128,0.10035524600112,0.026991359060753,0.007814097237795
129,0.10452664843922,0.028886170747017,0.0087123866243006
130,0.10871294798017,0.030828632464157,0.0096641550723982
131,0.11291357058812,0.032817690464935,0.010669258416605
132,0.1171279938961,0.034852349217164,0.011727481889854
133,0.12135574110168,0.036931665683334,0.012838549479526
134,0.12559637564841,0.039054744200426,0.014002132232194
135,0.12984949658093,0.041220731906763,0.015217855611156
136,0.13411473448066,0.043428814664098,0.016485306004248
137,0.13839174790376,0.045678213425654,0.017804036472032
138,0.14268022025484,0.047968181004138,0.019173571818785
